,member_id,loan_amnt,term,int_rate,annual_inc,dti,delinq_2yrs,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,total_acc,pub_rec_bankruptcies,has_last_record,has_last_delinq,annual_inc_log,emp_length_num,home_ownership_encoded,verification_status_encoded,purpose_encoded,addr_state_encoded,loan_status_encoded,loan_income_ratio,acc_ratio,delinq_pub_rec_zero
count,39785.0,39785.0,39785.0,39785.0,39785.0,39785.0,39785.0,39785.0,39785.0,39785.0,39785.0,39785.0,39785.0,39785.0,39785.0,39785.0,39785.0,39785.0,39785.0,39785.0,39785.0,39785.0,39785.0,39785.0,39785.0,39785.0
mean,19893.04386075154,11231.391227849692,42.44866155586276,12.027805202965943,68979.64433630765,13.3177182355159,0.14651250471283148,0.8690461229106448,12.686414477818273,4.892924469020988,9.293628251853713,0.055146411964308154,22.08995852708307,0.04252859117757949,0.07015206736207114,0.3533492522307402,10.97317695585859,4.812366469775041,2.1379917054166144,0.8973733819278623,3.8719617946462233,21.789971094633657,0.8574839763730049,0.18805110250080545,0.47059113687201043,0.8440366972477065
std,11485.157206014406,7464.634092028826,10.638866782101166,3.7274885043050903,63763.33179559557,6.678367128200596,0.49181360351455633,1.070082553607619,21.58333921213258,21.25805453994311,4.3993475501405355,0.23765565941292682,11.401550370691192,0.20266433799814912,0.25540633200790475,0.4780160055184114,0.5588031939264252,3.645755362900644,1.9339096862247023,0.8589139345439898,3.417898079503,14.802295698117753,0.3495830063861585,0.11644575243451936,0.18617426151107316,0.3628251090861556
min,1.0,500.0,36.0,5.42,4000.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,8.294049640102028,-1.0,0.0,0.0,0.0,0.0,0.0,0.0007894736842105,0.0512820512820512,0.0
25%,9947.0,5500.0,36.0,9.25,40500.0,8.18,0.0,0.0,0.0,0.0,6.0,0.0,13.0,0.0,0.0,0.0,10.60905725309463,2.0,0.0,0.0,2.0,6.0,1.0,0.1,0.3333333333333333,1.0
50%,19893.0,10000.0,36.0,11.86,59000.0,13.41,0.0,1.0,0.0,0.0,9.0,0.0,20.0,0.0,0.0,0.0,10.985292722887856,4.0,3.0,1.0,2.0,20.0,1.0,0.1665926254997778,0.4444444444444444,1.0
75%,29839.0,15000.0,60.0,14.59,82350.0,18.6,0.0,1.0,21.0,0.0,12.0,0.0,29.0,0.0,0.0,1.0,11.318733735605786,9.0,4.0,2.0,6.0,34.0,1.0,0.251984126984127,0.5833333333333334,1.0
max,39786.0,35000.0,60.0,24.59,6000000.0,29.99,11.0,8.0,120.0,129.0,44.0,4.0,90.0,2.0,1.0,1.0,15.60727002719233,10.0,4.0,2.0,13.0,49.0,1.0,0.83,1.75,1.0
